/* DATA DESCRIPTION:
	HE335/023-1 * LATITUDE: 54.665330 * LONGITUDE: 7.998830 * DATE/TIME: 2010-09-09T23:01:00 * ELEVATION: -8.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/023-2 * LATITUDE: 54.665500 * LONGITUDE: 7.999000 * DATE/TIME: 2010-09-09T23:02:00 * ELEVATION: -13.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/023-3 * LATITUDE: 54.665500 * LONGITUDE: 7.999170 * DATE/TIME: 2010-09-09T23:03:00 * ELEVATION: -8.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/024-1 * LATITUDE: 54.626000 * LONGITUDE: 7.998830 * DATE/TIME: 2010-09-09T23:28:00 * ELEVATION: -6.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/024-2 * LATITUDE: 54.626330 * LONGITUDE: 7.999670 * DATE/TIME: 2010-09-09T23:31:00 * ELEVATION: -6.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/024-3 * LATITUDE: 54.626830 * LONGITUDE: 7.999830 * DATE/TIME: 2010-09-09T23:36:00 * ELEVATION: -6.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/025-1 * LATITUDE: 54.625330 * LONGITUDE: 7.917500 * DATE/TIME: 2010-09-10T00:06:00 * ELEVATION: -9.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/025-2 * LATITUDE: 54.625830 * LONGITUDE: 7.917670 * DATE/TIME: 2010-09-10T00:08:00 * ELEVATION: -9.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/025-3 * LATITUDE: 54.626670 * LONGITUDE: 7.917830 * DATE/TIME: 2010-09-10T00:13:00 * ELEVATION: -9.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/026-1 * LATITUDE: 54.584170 * LONGITUDE: 7.916330 * DATE/TIME: 2010-09-10T00:35:00 * ELEVATION: -11.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/026-2 * LATITUDE: 54.584670 * LONGITUDE: 7.915170 * DATE/TIME: 2010-09-10T00:38:00 * ELEVATION: -11.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
